iter	RMSE
0	77183.05259
1	75077.08871
2	73143.22282
3	71097.94555
4	69166.8425
5	67309.36536
6	65669.72692
7	64074.68248
8	62449.26204
9	60970.29045
10	59579.41716
11	58203.66995
12	56803.23798
13	55590.24839
14	54367.43893
15	53161.82481
16	51920.31534
17	50825.93825
18	49805.39331
19	48739.06516
20	47737.53128
21	46767.80589
22	45845.81463
23	44911.34799
24	44070.12915
25	43344.52776
26	42526.95742
27	41877.90428
28	41113.98491
29	40421.05293
30	39727.30852
31	39165.39676
32	38537.25765
33	37914.02006
34	37413.58191
35	36869.78367
36	36394.45255
37	35937.65066
38	35460.32142
39	35001.87559
40	34512.77768
41	34089.64915
42	33652.5475
43	33234.59108
44	32803.77897
45	32423.04798
46	32069.20242
47	31719.94295
48	31319.20188
49	30987.57113
50	30667.01891
51	30391.3245
52	30066.07463
53	29743.53556
54	29402.18296
55	29169.59169
56	28884.79777
57	28625.90721
58	28385.68558
59	28148.8544
60	27936.62248
61	27675.08364
62	27461.87313
63	27231.57785
64	27062.5811
65	26867.91669
66	26682.66839
67	26505.14273
68	26322.49431
69	26137.12644
70	25959.56993
71	25762.96978
72	25596.90331
73	25444.80358
74	25292.69644
75	25174.98881
76	25016.88167
77	24880.14004
78	24706.46915
79	24590.54671
80	24469.03971
81	24330.72551
82	24217.92334
83	24051.03061
84	23910.41671
85	23782.75492
86	23671.32297
87	23538.39276
88	23434.99674
89	23312.66828
90	23225.06531
91	23141.78172
92	23037.23074
93	22944.92027
94	22843.24738
95	22747.10258
96	22666.43016
97	22571.53329
98	22496.5145
99	22405.45704
100	22277.53935
101	22195.56253
102	22088.03962
103	22020.57215
104	21986.32786
105	21922.95011
106	21852.67252
107	21788.58689
108	21715.15694
109	21638.16715
110	21550.82471
111	21472.81115
112	21407.54335
113	21350.35295
114	21272.70853
115	21204.17762
116	21118.10567
117	21057.72813
118	20995.30582
119	20933.53376
120	20864.14411
121	20816.66091
122	20759.85163
123	20701.37741
124	20651.22855
125	20595.86047
126	20554.35725
127	20488.07548
128	20435.18803
129	20382.47882
130	20342.23241
131	20281.18432
132	20257.21106
133	20218.54243
134	20166.98663
135	20115.55018
136	20066.75214
137	20009.00058
138	19955.62959
139	19918.41067
140	19848.88601
141	19814.11684
142	19762.28542
143	19712.36313
144	19674.81243
145	19631.60866
146	19586.11741
147	19546.97855
148	19494.05033
149	19441.25981
150	19384.86009
151	19341.18268
152	19302.27519
153	19274.9223
154	19235.57926
155	19184.21267
156	19166.63774
157	19125.14395
158	19105.68002
159	19055.69661
160	19010.0168
161	18978.49088
162	18946.47865
163	18912.59013
164	18872.81615
165	18828.96009
166	18811.6972
167	18787.12685
168	18763.66081
169	18748.40761
170	18726.63768
171	18692.56401
172	18649.6611
173	18610.83104
174	18584.70061
175	18557.72608
176	18543.48039
177	18508.03405
178	18482.38298
179	18444.8348
180	18413.16809
181	18378.16096
182	18331.97967
183	18310.17444
184	18290.24865
185	18242.55963
186	18212.95568
187	18180.57804
188	18134.47311
189	18112.10682
190	18083.84193
191	18065.7983
192	18053.04282
193	18044.7063
194	18014.9923
195	18006.34502
196	17990.68606
197	17955.08116
198	17930.86846
199	17917.09071
200	17898.47495
201	17886.48004
202	17866.32543
203	17836.43015
204	17809.84258
205	17788.36544
206	17759.84811
207	17725.5298
208	17706.98758
209	17680.97836
210	17670.81575
211	17624.4053
212	17607.91824
213	17591.83592
214	17555.97465
215	17541.88539
216	17517.65829
217	17472.77112
218	17451.19108
