iter	Passed	Remaining
0	0	937
1	1	871
2	2	832
3	3	781
4	3	747
5	4	733
6	5	716
7	5	697
8	6	679
9	6	678
10	7	662
11	7	647
12	8	635
13	8	627
14	9	624
15	10	617
16	10	612
17	11	613
18	11	608
19	12	606
20	12	601
21	13	596
22	13	590
23	14	585
24	14	579
25	15	574
26	15	571
27	16	570
28	16	566
29	17	564
30	20	630
31	20	627
32	21	624
33	21	620
34	22	618
35	22	615
36	23	613
37	24	610
38	24	606
39	25	602
40	25	598
41	26	594
42	26	592
43	27	588
44	27	586
45	28	584
46	28	581
47	29	578
48	29	575
49	30	572
50	30	570
51	31	568
52	31	565
53	32	573
54	33	572
55	34	573
56	34	573
57	35	573
58	35	572
59	36	571
60	36	569
61	37	567
62	38	565
63	38	564
64	39	562
65	39	560
66	40	558
67	40	557
68	41	555
69	41	553
70	42	551
71	42	549
72	43	548
73	43	546
74	44	545
75	44	544
76	45	542
77	45	541
78	46	539
79	46	538
80	47	537
81	47	536
82	48	535
83	48	534
84	49	534
85	50	533
86	50	534
87	51	534
88	52	533
89	52	532
90	53	532
91	53	531
92	54	530
93	54	529
94	55	528
95	55	526
96	56	525
97	57	524
98	57	523
99	58	522
100	58	521
101	59	520
102	59	518
103	60	517
104	60	514
105	60	513
106	61	512
107	61	511
108	62	510
109	62	509
110	63	508
111	63	507
112	64	506
113	65	505
114	65	504
115	66	503
116	66	502
117	67	501
118	67	500
119	68	499
120	68	499
121	69	499
122	70	499
123	70	498
124	71	498
125	72	500
126	72	499
127	73	498
128	73	497
129	74	497
130	74	496
131	75	495
132	75	494
133	76	493
134	76	492
135	77	491
136	77	490
137	78	490
138	78	489
139	79	488
140	80	489
141	80	488
142	81	487
143	81	487
144	82	486
145	83	486
146	83	486
147	84	485
148	84	484
149	85	483
150	85	482
151	86	481
152	86	480
153	87	480
154	87	479
155	88	478
156	88	477
157	89	476
158	89	475
159	90	474
160	90	473
161	91	472
162	91	471
163	92	471
164	92	470
165	93	469
166	93	468
167	94	468
168	95	467
169	95	467
170	96	467
171	97	467
172	97	466
173	98	465
174	98	464
175	99	464
176	99	463
177	100	463
178	100	462
179	101	461
180	101	460
181	102	459
182	102	458
183	103	458
184	103	457
185	104	456
186	104	455
187	105	454
188	105	454
189	106	453
190	106	452
191	107	451
192	107	451
193	108	450
194	108	449
195	109	448
196	109	448
197	110	447
198	111	447
199	111	447
200	112	446
201	112	446
202	113	445
203	114	444
204	114	444
205	115	443
206	115	443
207	116	442
208	116	441
209	117	440
210	117	440
211	118	439
212	118	438
213	119	437
214	119	437
215	120	436
216	120	435
217	121	436
218	122	436
219	122	435
220	123	434
221	123	434
222	124	433
223	124	432
224	125	432
225	126	432
226	127	432
227	127	431
228	128	431
229	128	430
230	129	429
231	129	429
232	130	428
233	130	428
234	131	428
235	132	427
236	132	426
237	133	426
238	133	426
239	134	425
240	135	425
241	135	424
242	136	424
243	136	424
244	137	424
245	138	424
246	138	423
247	139	422
248	140	422
249	140	421
250	141	421
251	141	420
252	142	420
253	142	419
254	143	419
255	144	418
256	144	418
257	145	417
258	146	418
259	146	418
260	147	417
261	148	417
262	148	416
263	149	415
264	149	415
265	150	414
266	150	414
267	151	413
268	152	413
269	152	412
270	153	411
271	153	410
272	154	410
273	154	409
